,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
36,Sattviko,"New Delhi, Delhi, India","Food Processing, Retail",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,Undisclosed,1140351.0,Angel,2018
37,Sensibull,"Bangalore, Karnataka, India",Trading Platform,Investment Management Platform,Undisclosed,365497.0,Seed,2018
38,Bombay Shaving Company,"New Delhi, Delhi, India","Consumer Goods, Lifestyle, Men's",Bombay Shaving Company is a Men's grooming startup,Undisclosed,1140351.0,Series A,2018
39,MedCords,"Pune, Maharashtra, India",Wellness,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Undisclosed,385965.0,Seed,2018
40,University Living,"New Delhi, Delhi, India",Education,University Living is an online global student housing marketplace.,Undisclosed,1140351.0,Seed,2018
41,&ME,"Bangalore, Karnataka, India","Food and Beverage, Food Processing, Nutrition",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Undisclosed,1140351.0,Seed,2018
42,Enakshi,"Ahmedabad, Gujarat, India",Fashion,Enakshi is an online apparel brand for women.,Undisclosed,116959.0,Seed,2018
43,Ultraviolette Automotive,"Bangalore, Karnataka, India","Automotive, Electric Vehicle, Energy Storage",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Undisclosed,877.0,Series A,2018
44,Guardian.in,"Mumbai, Maharashtra, India",Health Care,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Undisclosed,1140351.0,Seed,2018
45,India Accelerator,"Gurgaon, Haryana, India","Communities, Coworking, Incubators",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Undisclosed,1140351.0,Angel,2018
46,Wishup,"Azadpur, Delhi, India","Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Premium Personal Assistance service,Undisclosed,1140351.0,Seed,2018
47,PivotRoots,"Mumbai, Maharashtra, India","Advertising, Consulting, Digital Marketing",Digital Marketing powered by Data & Technology; fueled by Design thinking,Undisclosed,1140351.0,Series A,2018
48,Carmesi,"Gurgaon, Haryana, India",Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,Undisclosed,497076.0,Seed,2018
49,OckyPocky,"Haryana, Haryana, India","E-Learning, Internet, Video Games",OckyPocky is a interactive and personalised language learning app for preschool kids.,Undisclosed,1140351.0,Angel,2018
50,Racetrack,"Bangalore, Karnataka, India","Artificial Intelligence, Cloud Computing, Video","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Undisclosed,5000000.0,Seed,2018
51,WHR,"Pune, Maharashtra, India","Health Care, Information Technology","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Undisclosed,143145.0,Seed,2018
52,Asteria Aerospace,"Bangalore, Karnataka, India",Aerospace,Asteria Aerospace is a robotics and artificial intelligence company.,Undisclosed,1140351.0,Seed,2018
53,FabAlley,"Noida, Uttar Pradesh, India","E-Commerce, Fashion, Lifestyle","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Undisclosed,8771930.0,Series B,2018
54,Tranzmeo,"Cochin, Kerala, India","Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Undisclosed,1140351.0,Pre-Seed,2018
55,SBI Life,"Mumbai, Maharashtra, India",Insurance,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Undisclosed,742000000.0,Private Equity,2018
56,Studds Accessories,"Faridabad, Haryana, India",E-Commerce,Studds Accessories is a scooter accessories service provider in India,Undisclosed,14619883.0,Private Equity,2018
